name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,base_pts,season_pts,ppg,rec_pg,pass_yards_pg,rush_yards_pg,ypr,td_dependence,bbvor,p90,cv,skew,kurtosis
treveyon henderson,RB,TreVeyon Henderson,NE,0.0,0.0,1.0,221.0,35.0,6.0,700.5,0.0,169.15,173.43878831436612,10.202281665550949,2.0588235294117645,0.0,41.205882352941174,6.314285714285714,0.24216036336619803,64.2980157778,214.2321483141759,0.7239735492069621,1.1765067975990402,1.5142146793823565
bo nix,QB,Bo Nix,DEN,24.179470542434466,3450.5,0.0,0.0,0.0,4.029911757072411,351.9456267843239,10.29866337918505,283.81325201141965,294.31777863007284,17.312810507651342,0.0,202.97058823529412,20.70268392848964,0.0,0.41077149085216447,63.40861608595913,333.38631629440084,0.44011461276077685,0.267530335352994,0.08783966336688609
luther burden,WR,Luther Burden III,CHI,0.0,0.0,4.5,850.5,64.5,0.0,0.0,0.0,176.55,181.27301110008247,10.663118300004852,3.7941176470588234,0.0,0.0,13.186046511627907,0.14894660730875736,62.79112336868155,218.99169330648039,0.6554376495935692,1.0188802071214786,1.455897885529498
justin herbert,QB,Justin Herbert,LAC,25.5,3500.5,0.0,0.0,0.0,2.283431180691455,336.64299692479733,7.50270245084335,281.8821843257851,292.31523805949575,17.19501400349975,0.0,205.91176470588235,19.80252923087043,0.0,0.39580758037868646,62.64995766669143,332.3568284658655,0.44138107753795974,0.249002720385009,-0.023737522154851476
marvin harrison,WR,Marvin Harrison Jr.,ARI,0.0,0.0,5.5,825.5,56.95010046885466,0.0,0.0,0.0,172.50010046885467,177.1147699068594,10.418515876874082,3.350005909932627,0.0,0.0,14.495145631067961,0.18631986489525376,62.35542649548765,215.1832344232762,0.6986443937558159,0.8674416546896071,0.3999988227342133
rico dowdle,RB,Rico Dowdle,PIT,0.0,0.0,2.0000000000000004,230.00000000000003,31.666666666666668,4.5,700.5,0.0,163.71666666666667,167.8676931335125,9.874570184324265,1.8627450980392157,0.0,41.205882352941174,7.2631578947368425,0.23232582322425555,61.69716130720306,209.12426135299063,0.7687594198075068,1.1375796938435923,1.1251452331561014
dk metcalf,WR,DK Metcalf,PIT,0.0,0.0,5.5,825.5,55.03893750255692,0.0,0.0,0.0,170.58893750255692,175.15248009885173,10.303087064638337,3.2375845589739365,0.0,0.0,14.99847267149098,0.1884072665221504,61.63698618014969,213.74017562728224,0.7147168630241619,0.8846570082811663,0.3980500257675592
matthew stafford,QB,Matthew Stafford,LAR,29.5,3838.0,0.0,0.0,0.0,0.6423406836722646,119.82665520215853,8.334083963326364,279.02262565892306,289.34984109959856,17.02057888821168,0.0,225.76470588235293,7.048626776597561,0.0,0.4211305029197842,60.28919720984079,327.761542700827,0.43024841005411496,0.1801023208498316,-0.110021562913583
harold fannin,TE,Harold Fannin Jr.,CLE,0.0,0.0,5.5444596443228455,675.5,66.53351573187415,0.0,0.0,0.0,167.35027359781122,169.13965161455474,9.949391271444396,3.9137362195220087,0.0,0.0,10.152777777777777,0.1966821945556994,60.1920701608654,203.40469387096303,0.6447774292836452,1.0001345691033363,1.5108693052510889
patrick mahomes,QB,Patrick Mahomes,KC,23.725209437510685,3700.5,0.0,0.0,0.0,2.2143528808343307,353.66378868182596,11.38810053000513,280.1852333732262,290.55547937570736,17.091498786806316,0.0,217.6764705882353,20.80375227540153,0.0,0.37234525835651466,59.923654859454146,328.5399805168761,0.42135100576558543,0.26748190860929216,0.11409591812992881
rhamondre stevenson,RB,Rhamondre Stevenson,NE,0.0,0.0,1.0,250.33333333333334,34.333333333333336,5.5,613.0,0.0,159.66666666666669,163.71500562140383,9.630294448317873,2.019607843137255,0.0,36.05882352941177,7.29126213592233,0.23821884775906702,59.22040868913182,204.36268610093293,0.765856011258938,1.225377715492948,1.5601104230733487
