Player,Team,Pos,Market,Line,Over,Under,No-Vig Over %,Hold %,Book,As Of (UTC)
Dallas Goedert,PHI,TE,Receiving Yards,575.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Dallas Goedert,PHI,TE,Receiving TDs,4.5,-134,+110,54.6%,4.9%,BetRivers,2026-08-18T00:38:27
Dalton Kincaid,BUF,TE,Receiving Yards,550.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Dalton Kincaid,BUF,TE,Receiving TDs,3.5,-152,+125,57.6%,4.8%,BetRivers,2026-08-18T00:38:27
Daniel Jones,IND,QB,Passing Yards,3300.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Daniel Jones,IND,QB,Passing Yards,3350.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Daniel Jones,IND,QB,Passing TDs,18.5,+102,-136,46.2%,7.1%,FanDuel,2026-08-18T00:38:27
Davante Adams,LAR,WR,Receiving Yards,775.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Davante Adams,LAR,WR,Receiving Yards,800.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Davante Adams,LAR,WR,Receiving TDs,9.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
David Montgomery,HOU,RB,Rushing Yards,825.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
David Montgomery,HOU,RB,Rushing Yards,825.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
David Montgomery,HOU,RB,Rushing TDs,7.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
David Montgomery,HOU,RB,Rushing TDs,7.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
De'Von Achane,MIA,RB,Rushing Yards,975.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
De'Von Achane,MIA,RB,Rushing Yards,1000.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
De'Von Achane,MIA,RB,Rushing TDs,5.5,+120,-148,43.2%,5.1%,BetRivers,2026-08-18T00:38:27
DeVonta Smith,PHI,WR,Receptions,78.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
DeVonta Smith,PHI,WR,Receiving Yards,1025.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
DeVonta Smith,PHI,WR,Receiving TDs,5.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Denzel Boston,CLE,WR,Receiving Yards,500.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Derrick Henry,BAL,RB,Rushing Yards,1225.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Derrick Henry,BAL,RB,Rushing Yards,1225.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Derrick Henry,BAL,RB,Rushing TDs,12.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Derrick Henry,BAL,RB,Rushing TDs,12.5,-130,-102,52.8%,7.0%,FanDuel,2026-08-18T00:38:27
Drake London,ATL,WR,Receptions,87.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Drake London,ATL,WR,Receiving Yards,1100.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Drake London,ATL,WR,Receiving Yards,1100.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Drake London,ATL,WR,Receiving TDs,7.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
Drake Maye,NE,QB,Passing Yards,3750.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Drake Maye,NE,QB,Passing Yards,3750.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Drake Maye,NE,QB,Passing TDs,25.5,-144,+108,55.1%,7.1%,FanDuel,2026-08-18T00:38:27
Drake Maye,NE,QB,Rushing Yards,400.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Drake Maye,NE,QB,Rushing Yards,425.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Drake Maye,NE,QB,Rushing TDs,3.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Drake Maye,NE,QB,Rushing TDs,3.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
Fernando Mendoza,LV,QB,Passing Yards,2100.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Fernando Mendoza,LV,QB,Passing Yards,2150.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Fernando Mendoza,LV,QB,Passing TDs,12.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Garrett Wilson,NYJ,WR,Receptions,85.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Garrett Wilson,NYJ,WR,Receiving Yards,975.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Garrett Wilson,NYJ,WR,Receiving Yards,975.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Garrett Wilson,NYJ,WR,Receiving TDs,4.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
